,Theme,Company
97,ESS,"['상아프론테크', '피엔티', '삼화전기', '엠플러스', '에이치엘비파워', '씨아이에스', '윌링스', '삼성SDI', '신성이엔지']"
98,자원,['포스코엠텍']
99,노인복지,"['대원제약', '인성정보', '씨유메디칼', '오스코텍', '엔지켐생명과학', '아이센스']"
100,금융자동화기기,"['케이씨티', '로지시스']"
101,스마트그리드,"['누리텔레콤', '코콤', '비츠로셀']"
102,테러,"['한화', '평화산업', '퍼스텍', '한일단조', '스페코', '국영지앤엠', '혜인', '솔트웍스', '에이스테크', '이엠코리아', '아이쓰리시스템', '포메탈', '한화에어로스페이스', '대우조선해양', '기산텔레콤']"
103,BTS,"['키이스트', '디피씨', '초록뱀', '엘비세미콘', '넷마블', '손오공', '경남제약']"
104,보툴리눔톡신,"['휴젤', '제테마', '대웅제약', '디에스케이', '메디톡스', '휴온스', '파마리서치프로덕트', '휴온스글로벌']"
105,아이폰,"['프로텍', '덕우전자', '에스맥', '덕산네오룩스', 'SK하이닉스', '넥스턴', 'LG화학', '와이엠티', '실리콘웍스', '이녹스첨단소재']"
106,슈퍼박테리아,"['레고켐바이오', '파루', '씨젠', '큐로컴', '인트론바이오', '크리스탈']"
107,뉴딜,"['화천기계', '유비케어', '모헨즈', '삼표시멘트', '메가엠디']"
108,육계,"['이지홀딩스', '마니커에프앤지', '이지바이오', '푸드나무', '하림', '체리부로', '동우팜투테이블', '팜스토리', '마니커']"
109,방역진단가축,"['명문제약', '진원생명과학', '남선알미늄', '흥구석유', '일진홀딩스', '중앙에너비스']"
110,스마트팩토리,"['카페24', 'KG모빌리언스', '라온시큐어', '소프트센', '시스웍', '이엑스티', '메가엠디', '레이언스', 'LG전자']"
111,온라인광고,"['퓨쳐스트림네트웍스', '지어소프트', '우리손에프앤지', '마이크로디지탈', '랩지노믹스']"
112,재택근무,"['인트로메딕', '알서포트', '이씨에스', '링네트']"
113,소셜네트워크서비스,"['젬백스링크', '가비아', '이루온', 'NHN벅스', '갤럭시아컴즈']"
114,바이오의약품,"['이수앱지스', '대웅제약', '한미약품', '알테오젠', '셀트리온']"
115,모더,"['파미셀', '에이비프로바이오', '진원생명과학', '뉴지랩', 'SK케미칼', '제일약품', '현대글로비스', '현대위아', '현대모비스', '한라홀딩스', '셀트리온', '씨젠', '수젠텍', '신풍제약']"
116,임플란트,"['오스테오닉', 'SK바이오랜드', '오스템임플란트', '나이벡', '레이', '덴티움', '바텍', '오스코텍']"
117,자전거,"['빅텍', '엔에스엔', '극동유화', '삼천리자전거', '로보로보']"
118,AR,"['팅크웨어', '아이엠', '이에스브이', '나노캠텍', '이랜텍', '드래곤플라이', '위지윅스튜디오', '하이비젼시스템', '대덕전자', '나무가', '이수페타시스', '심텍']"
119,수산,"['사조씨푸드', '한성기업', '사조오양', 'CJ씨푸드', '신라에스지', '사조산업', '동원수산', '사조대림']"
120,스마트폰,"['젬백스링크', '솔루에타', '바른손', '다산네트웍스', '골드퍼시픽', '위메이드', '키네마스터', '동운아나텍', '투비소프트', '인프라웨어', '바른손이앤에이', '이루온', '일야', '지어소프트', '조이시티', '조이맥스', '유아이디', '썸에이지', '유티아이', '한빛소프트', '드래곤플라이', '액션스퀘어', '넷게임즈', '와이제이엠게임즈', '삼성전기', '아비코전자', '세경하이테크', 'KH바텍', '비에이치']"
121,게임관련,"['웹젠', '미투온']"
122,군함,['하이트진로홀딩스']
123,석유,"['극동유화', '흥구석유', 'SH에너지화학', '중앙에너비스', '배럴', '모토닉', 'SKC', '태광산업', '한진중공업', 'GS', 'SK이노베이션', 'KPX케미칼', '에쎈테크', '대우조선해양', '현대미포조선', 'SK가스']"
124,국가보안법,"['유니온머티리얼', '티플랙스']"
125,그래핀,"['상보', '오리엔트정공', '엘엠에스', '대창', '덕산하이메탈', '국일제지', '아난티', '덕양산업', '엑사이엔씨', '크리스탈신소재', '나노', '액션스퀘어', '이트론', '인포마크', '휴젤', '럭슬']"
126,커피,['한국맥널티']
127,에어컨,"['파세코', '신일전자']"
128,혈장치료,"['시노펙스', '한국유니온제약', '팬젠', '녹십자랩셀', '레몬', '에스맥', '삼성전자', '일신바이오', '바이오톡스텍', '필로시스헬스케어']"
129,손소독제,"['국제약품', '깨끗한나라', '백광산업', '한국알콜', 'MH에탄올', '파루', '창해에탄올', '유안타증권']"
130,GV80,"['만도', '현대공업']"
131,신종코로,"['창해에탄올', '코미팜', '파루', '휴비스', '모나리자', '케이엠', '한송네오텍', '웰크론', '국제약품', '바디텍메드', '오공', '코디엠', '동구바이오제약', '수젠텍', '승일', '서린바이오']"
132,타이어,"['골든센츄리', '동아타이어', '넥센타이어', '디티알오토모티브', '넥센', '한국테크놀로지그룹', '금호타이어']"
133,휴대폰부품,"['캠시스', '파인테크닉스', '세코닉스', '디에이피']"
134,엔젤산업,"['제로투세븐', '모나미', '메디앙스', '웅진씽크빅', '캐리소프트']"
135,영화,"['바른손', '쎄니트', '바른손이앤에이', '쇼박스', '세기상사', '덱스터', '롯데쇼핑']"
136,물류,"['W홀딩컴퍼니', 'GH신소재', '엘컴텍', '동방', '한진', '한익스프레스', '현대글로비스', '한솔로지스틱스', 'CJ대한통운', '비씨월드제약', '삼보판지', '태림포장']"
137,중국기업,"['골든센츄리', '로스웰', '윙입푸드', '에스앤씨엔진그룹', '컬러레이', 'GRT', '씨케이에이치', '헝셩그룹', '크리스탈신소재', '글로벌에스엠', '오가닉티코스메틱']"
138,출산장려정책,"['제로투세븐', '락앤락', '깨끗한나라', '메디앙스', '캐리소프트', '토박스코리아', '웅진씽크빅', '삼성출판사']"
139,제지,"['깨끗한나라', '한창제지', '한솔제지', '한국제지', '신풍제지', '아세아제지', '페이퍼코리아', '국일제지', '무림페이퍼', '한솔홀딩스']"
140,차량용블랙박스,"['모바일어플라이언스', '엠씨넥스', '제이씨현시스템', '시너지이노베이션', '앤씨앤']"
141,전선,"['대원전선', '가온전선', 'KBI메탈', '대한전선', 'LS', '일진전기']"
142,가스관사업,"['대동스틸', '이엠코리아', '동양에스텍', '부국철강']"
143,제습기,"['위니아딤채', '위닉스', '삼성전자', '파세코']"
144,자원개발,"['넥스트BT', '엘컴텍', '엔케이물산', '대성산업', '삼성물산']"
145,주류업,"['창해에탄올', 'MH에탄올', '한국알콜', '진로발효', '하이트진로', '국순당', '하이트진로홀딩스', '보해양조']"
146,영상콘텐츠,"['바른손', '쇼박스', '바른손이앤에이', 'SBS', '이에스에이', '큐로홀딩스', '키이스트']"
147,전자화폐,"['다날', '세틀뱅크', 'NHN한국사이버결제', 'SBI핀테크솔루션즈', 'KG이니시스', '신세계', '한국정보통신', '카페24', '코리아센터']"
148,반일,['모나미']
149,제4이동통신,"['쏠리드', 'CS', '바른테크놀로지', '콤텍시스템']"
150,CAR,"['이에스브이', '만도', '유비벨록스', '엠씨넥스']"
151,화장품,"['넥스트BT', '오가닉티코스메틱', '슈펙스비앤피', '코썬바이오', '현대바이오', 'SK바이오랜드', '프로스테믹스', '애경산업', 'MP한강', '한국화장품', 'LG', '코스메카코리아', '아모레퍼시픽그룹', 'LG생활건강', '한국콜마', '넥스트아이']"
152,사물인터넷,"['이에스브이', '이그잭스', '유비쿼스', '엔텔스', '링네트', '오픈베이스', '에이디테크놀로지', '핸디소프트', '이아이디']"
153,LNG,"['현대미포조선', '한진중공업', '비에이치아이']"
154,SSD,"['심텍', 'SFA반도체', 'SGA', 'SK하이닉스', 'KMH하이텍', '네오셈', '하나마이크론']"
155,해운,"['KSS해운', '팬오션', '흥아해운', '대한해운', 'HMM']"
156,홈쇼핑,"['현대홈쇼핑', '롯데쇼핑', 'CJ', '태광산업', '엔에스쇼핑']"
157,밥솥,"['윌링스', '어보브반도체', 'PN풍년', '쿠쿠홀딩스']"
158,탄소배출권,"['에코바이오', '에코프로', '세종공업', '후성', '휴켐스', '이건산업', 'KC코트렐']"
159,바이러스,"['오공', '웰크론', '진양제약', '케이엠', '서린바이오', '진원생명과학', '진매트릭스', '제일바이오', '고려제약', '파루', '바이오니아']"
160,중소형,"['진흥기업', '까뮤이앤씨', '남화토건', '동일산업', '범양건영', '영흥', '문배철강', '동국산업', 'NI스틸', 'TCC스틸', '만호제강', '포스코', '삼현철강']"
161,MVNO,['아이즈비전']
162,우한폐렴,"['체시스', '엑세스바이오', '웰크론', '국제약품', '케이엠', '케이엠제약', '모나리자', '오공', '아모레퍼시픽', '신세계', '호텔신라', 'LG생활건강', '우정바이오']"
163,부품주,"['대덕전자', '모베이스', '아모그린텍', '아이엠', '코리아써키트', '시노펙스', '한솔테크닉스', '세코닉스', '멜파스', '모다이노칩', '엘비세미콘', 'LG이노텍', '실리콘웍스', '와이제이엠게임즈', '유아이디', '알에프텍', '서원인텍', '켐트로닉스', '블루콤', 'LG디스플레이', '파워로직스', '네패스', 'SK하이닉스', '삼성SDI', '이라이콤']"
164,폐기물처리,"['코엔텍', '와이엔텍', '제넨바이오', '에코마이스터', '인선이엔티']"
165,비철금속,"['국일신동', '대유플러스', '코센', '남선알미늄', '서원', '이구산업']"
166,블록체인,"['케이사인', '주연테크', '팍스넷', '드림시큐리티', '라온시큐어', '데일리블록체인', '글로스퍼랩스']"
167,도시가스,"['예스코홀딩스', '삼천리', '지에스이', '대성에너지', '한국가스공사', '대성홀딩스']"
