,title,contents
405,"총선 D-1, 정치 테마주의 운명은?",제21대 국회의원 선거가 하루 앞으로 다가오면서 정치 테마주의 운명이 어떻게 될 지 관심을 끈다. 14일 한국거래소에 따르면 한동안 급등락하던 정치 테마주들은 고점을 찍은 뒤 오히려 총선이 가까워질수록 힘이...
406,[특징주] 안철수 정계복귀에 안랩 등 테마주 강세,안철수 전 바른미래당 대표가 2일 정계복귀를 선언하자 장 초반 안철수 테마주들이 강세를 보이고 있다. 이날 오전 10시17분 현재 코스닥시장에서 안랩은 전 거래일(12월30일)과 비교해 1만100원(15.42%) 오른 7만5600원에...
407,"[코로나19] 금융위, '코로나 테마주 투자'에 주의",자료=금융위원회 금융당국이 코로나19 테마주에 대해 신중한 투자가 필요하다고 경고했다. 금융위원회는... 금융위에 따르면 지난 8일 기준 코스피와 코스닥 시장에서 소위 코로나19 테마주로 불리는 69개 종목에 대한...
408,[신간]테마주도 가치투자 시대...‘한권으로 끝내는 테마주 투자’,테마주를 가치투자 관점에서 접근한 책이 나왔다. 도서출판 길벗은 박민수(샌드타이거샤크) 작가가 쓴 ‘한권으로 끝내는 테마주 투자’를 발간했다고 4일 밝혔다. 이 책은 테마주 가치투자가 위험은 최대로 줄이고...
409,정치인 테마주 떴다… 상한가 가기 전에 잡아볼까,"‘총선테마주’ ‘정치테마주’ 등을 검색하자 고수익을 보장한다는 자극적인 제목의 콘텐츠들이 쏟아졌다. 이낙연 전 국무총리, 황교안 자유한국당 대표, 윤석열 검찰총장, 안철수 전 의원 등과 관련된 종목 수십..."
410,정치인 테마주 떴다… 상한가 가기 전에 잡아볼까,"‘총선테마주’ ‘정치테마주’ 등을 검색하자 고수익을 보장한다는 자극적인 제목의 콘텐츠들이 쏟아졌다. 이낙연 전 국무총리, 황교안 자유한국당 대표, 윤석열 검찰총장, 안철수 전 의원 등과 관련된 종목 수십..."
411,"정치테마주, 총선 끝나자 줄줄이 하락",테마주 가격이 크게 떨어진 것으로 나타났다. 한국거래소에 따르면 남선알미늄 가격은 16일 10.41% 급락한 4475원에 장을 마쳤다. 자동차부품 제조업체인 남선알미늄은 이낙연 더불어민주당 상임공동선대위원장 테마주...
412,연초부터 들썩이는 정치테마주,정치테마주가 들썩이고 있다. 2일 오전 10시10분 현재 안 전 대표가 창업한 안랩은 전 거래일보다 16.34%(1만700원) 급등하며 7만6200원에 거래됐다. 회사 임원이 안랩 출신이라는 이유로 '안철수 테마주'로 분류된...
413,"""바이오·게임 테마주가 대세"" 두나무, 3월 주식 인기 키워드 발표","코로나19 테마주로 분류할 수 있는 '바이오제멕스', '씨티씨생명과학'도 조회수 Top 10 내에 이름을 올렸다.... 조회수 10위권 내에 '온페이스게임즈', '카카오게임즈', '크래프톤'의 총 3개가 게임 테마주가 등재되며 높은..."
414,"거래소, 코로나19·정치 테마주 감시 대폭 강화",한국거래소가 '코로나19' 관련 테마주와 정치 테마주 등에 대한 시장 감시를 대폭 강화합니다. 거래소 시장감시위원회는 우선 '코로나19' 국내 첫 확진자가 나온 지난달 20일 이후 주가 거래량이 급등한 40여 개 관련 종목을...
415,"'방탄소년단 테마주' 등락 엇갈려, 엔터테인먼트3사 주가도 혼조",'방탄소년단 테마주'로 묶이는 회사들 주가가 방향을 잡지 못했다. 8일 경남제약 주가는 전날보다 2.5%(200원) 상승한 8200원에 장을 끝냈다. 방탄소년단은 경남제약의 '레모나' 홍보모델로 활동한다. 드림어스컴퍼니...
416,"""'테마주'는 '화제주', '펫팸족'은 '반려동물 돌봄족'""","문화체육관광부(장관 박양우, 이하 문체부)와 국립국어원(원장 소강춘, 이하 국어원)은 '테마주'와 '펫팸족'을 대체할 쉬운 우리말로 '화제주'와 '반려동물 돌봄족'을 선정했다. '테마주'는 증권 시장에 영향을 주는 큰..."
417,너도나도 '코로나 테마주'… 당국 집중 감시 나선다,금융당국이 코로나19 테마주에 대해 집중 감시에 나섰다. 최근 주식시장에서 코로나19 확산 영향과 무관한 회사나 사업실체가 불분명한 회사가 코로나19 테마주로 부각되며 주가가 급등락하고 있어 투자자들의 피해가...
418,"삼성 화학 테마주 ETN, +2.14% 상승폭 확대","삼성 화학 테마주 ETN이 상승폭을 확대하고 있다. 전일 대비 2.14% 상승한 10,495원에 거래되고 있다. 삼성 화학 테마주 ETN의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인, 기관 모두..."
419,"금감원, 총선 관련 정치테마주 불공정거래 발견되면 엄정조치",금융감독원이 4월 총선과 관련해 정치인 테마주로 분류되는 종목을 집중감시하는 모니터링시스템을 구축한다. 금감원은 올해 총선 관련 정치테마주를 대상으로 감시와 조사를 강화한다고 21일 밝혔다. 금융감독원 로고....
420,[종합]총선 후 기대감 꺾인 테마주…이낙연·황교안·안철수株 줄하락,제21대 국회의원 선거와 함께 들썩였던 '총선 테마주'가 모두 내림세를 보이고 있다. 총선이 끝나면서 각... 자동차부품 제조업체인 남선알미늄은 대표적인 이낙연 테마주로 꼽힌다. 남선알미늄 계열사인 삼환기업의...
421,'실적'보다 '인기'에 급등락…정치테마주 명암,◆정치 테마주 기승 여전= 전문가들은 2022년 3월 '제20대 대통령선거'가 다가올수록 안랩을 비롯한 테마주 주가 변동성이 커질 것으로 우려했다. 대통령 선거를 앞두고 테마주가 득세하는 시기는 점차 빨라지고 있다....
422,"금융당국 ""신종 코로나 테마주 감시 강화…시장교란 엄정대응""","사진=뉴스1신종 코로나 바이러스 감염증에 대한 공포를 이용해 관련 테마주가 기승을 부리자 금융당국이 칼을 빼들었다. 신종 코로나 관련 테마주에 대한 감시를 강화하는 한편, 시장교란 행위가 포착됐을 경우..."
423,"‘안철수’ 이어 ‘윤석열’… 갈곳 잃은 개미, 테마주 몰린다",새해 초부터 ‘안철수 테마주’가 롤러코스터를 타더니 이번 달에는 ‘윤석열 테마주’가 들썩이고 있다. 증시가 뚜렷한 방향성을 보이지 못하며 지지부진한 와중 4월 15일 제21대 총선을 앞두고 ‘테마주 열풍’은 그...
424,"[특징주] 오거돈 시장 사퇴에 동일고무벨트, 정치테마주 부각",이는 오거돈 부산시장의 사퇴로 정치테마주로 부상한 결과로 풀이된다. 오거돈 시장 사퇴 이후 김세연 미래통합당 의원이 차기 보궐선거 부산시장후보로 거론되고 있다. 김 의원은 동일고무벨트의 지주사인...
425,코로나19 '확산' 급락세 이어가…애국 테마주↑,반면 일본의 한국인 입국 제한 강화 소식에 애국 테마주들은 상승하고 있습니다. 모나미가 사흘 연속 오르고 있습니다. 이 시각 현재 중국 증시는 하락하고 있고 일본 증시 또한 내리고 있습니다. 지금까지...
426,"신종 코로나 테마주, 투자유의 조치…""모니터링 강화""",신종 코로나바이러스 감염증 관련 테마주에 대해 일제히 투자유의 조치가 발동됐다. 사이버 풍문 등으로... 해당 종목들은 모두 신종 코로나바이러스 관련 테마주로 이 기간 평균 주가 상승률은 65.83%에 달했다....
427,"미확인 정보에 널뛰는 코로나 테마주 ""신중한 투자 필요""",#마스크 생산업체로 잘못 알려진 A사는 코로나 사태 발생 초기 코로나 테마주로 알려지며 주가가 단기간 300%가량 급등했으나 이후 급락했다. #체외진단기 생산업체를 자회사로 둔 B사 또한 코로나 테마주로 분류돼...
428,1900 고지 지켜낸 동학개미운동,소위 테마주로 불리는 인기 업종 위주로 사들이는 2008년 금융위기 때 모습과도 달랐다. 2001년 9·11테러... 양지원씨(38·가명)는 “우리 부모님 세대는 젊은 시절 테마주 중심으로 투자를 했다가 실패하고 자식들에게...
429,"[특징주] 홍정욱 테마주, 통합당 ‘40대 기수론’ 제시에 급등",‘홍정욱 테마주’로 분류되는 KNN은 전일 대비 22.97%(255원) 오른 1365원에 거래되고 있다. KNN은 홍 전 의원의 누나 홍성아씨가 KNN이 지분 50%를 가진 부산글로벌빌리지의 공동 대표인 것으로 알려지면서 홍정욱 테마주...
430,최근 한달간 성인 남녀 절반 주식투자 경험,"이들은 평균 500만원 이상을 코로나19 관련 테마주에 투자한 것으로 나타났다. 취업포털 인크루트와... 투자종목 중 코로나19 관련 테마주가 총 46.5%로 가장 많았다. 코로나 진단·방역·시약 (23.9%), 백신·제약업체(12.3..."
