,Theme,Company
146,GTX,"['현대로템', '현대건설', '대아티아이']"
147,소매유통,"['신세계', '다나와', 'BGF리테일', '롯데쇼핑', 'CJ']"
148,,
149,디스플레이,"['SKC', '필옵틱스', '경인양행', '코세스', '유티아이', 'SK머티리얼즈', '루멘스', '파인텍', '덕산하이메탈', '일진디스플', '동진쎄미켐', 'LG디스플레이', '톱텍', '아이컴포넌트', 'DMS', '상보', '에스에프에이', 'PI첨단소재', '덕산네오룩스']"
150,공기청정기,"['카스', '크린앤사이언스', '위니아딤채', '삼성전자', '웰크론']"
151,페인트,"['노루홀딩스', 'AK홀딩스']"
152,광물자원개발,"['삼영엠텍', '상보', '엘컴텍', 'SH에너지화학', '한국주강', '아진산업', '티플랙스', '한국내화', '포스코엠텍']"
153,의료기기,"['멕아이씨에스', '바디텍메드', '수젠텍', '한국비엔씨', '에이치엘비파워', '인트로메딕', '아이쓰리시스템', '코디엠', '인터로조', '바텍']"
154,생명보험,"['미래에셋생명', '삼성생명', '동양생명', '코리안리', '한화생명']"
155,프린터,"['맥스로텍', '한국테크놀로지', '휴림로봇', '하이비젼시스템', 'TPC']"
156,백화점,"['대구백화점', '베뉴지', '롯데쇼핑', '신세계', '현대백화점', '광주신세계', 'CJ']"
157,화학섬유,"['코오롱머티리얼', '성안', '티케이케미칼', '대한화섬', '효성티앤씨']"
158,REITs,"['이리츠코크렙', '신한알파리츠', '에이리츠', '모두투어리츠', 'NH프라임리츠', '롯데리츠']"
159,사료,"['씨티씨바이오', '우진비앤지', '미래생명자원', '대한제당', '케이씨피드', '현대사료', '사조동아원', '한일사료', '고려산업', '이지바이오', '팜스토리', '팜스코', '한탑']"
160,전기자전거,"['삼성SDI', '만도', '파워로직스', '알톤스포츠', '삼천리자전거']"
161,공작기계,"['맥스로텍', 'GV', '화천기계', '넥스턴']"
162,액화석유가스,"['SK이노베이션', '흥구석유', '극동유화', '중앙에너비스', 'S-Oil']"
